iter	RMSE
0	14.00665324
1	13.90881442
2	13.81433034
3	13.71188057
4	13.61508426
5	13.52740812
6	13.46504586
7	13.38798376
8	13.32057295
9	13.2497271
10	13.19390629
11	13.13185935
12	13.07651187
13	13.02083491
14	12.9670268
15	12.92372783
16	12.87936128
17	12.82728469
18	12.78376776
19	12.74096723
20	12.69800272
21	12.6556488
22	12.6296989
23	12.59192551
24	12.55670334
25	12.52696228
26	12.50589615
27	12.47644373
28	12.44522153
29	12.41679179
30	12.39225412
31	12.36437805
32	12.3436807
33	12.32196312
34	12.29705812
35	12.27680312
36	12.25154982
37	12.22990825
38	12.21943941
39	12.20503504
40	12.1938954
41	12.17356589
42	12.15586458
43	12.14075899
44	12.1253183
45	12.11504889
46	12.10019137
47	12.07770071
48	12.06368665
49	12.04759265
50	12.03187903
51	12.01986581
52	12.00480822
53	11.98655804
54	11.97613639
55	11.97062142
56	11.95708583
57	11.94288522
58	11.9342508
59	11.92298185
60	11.90942685
61	11.89736746
62	11.88595159
63	11.87570529
64	11.86432378
65	11.85727511
66	11.84709185
67	11.83618561
68	11.82745011
69	11.82189397
70	11.81626948
71	11.81544002
72	11.80869574
73	11.80606853
74	11.80228317
75	11.79257111
76	11.79058199
77	11.78891111
78	11.78108629
79	11.77186926
80	11.76467203
81	11.75582963
82	11.74589615
83	11.73874302
84	11.73513638
85	11.72840553
86	11.7204838
87	11.71592157
88	11.70843853
89	11.70343917
90	11.6993462
91	11.69232595
92	11.68933253
93	11.68339189
94	11.6802608
95	11.67877954
96	11.67381831
97	11.6694018
98	11.66263572
99	11.65627055
100	11.65541421
101	11.65360296
102	11.64612267
103	11.64218542
104	11.63848955
105	11.63405533
106	11.62828394
107	11.62305539
108	11.62233761
109	11.61962947
110	11.61376966
111	11.60993699
112	11.60900784
113	11.60837952
114	11.59977098
115	11.59544171
116	11.59205009
117	11.58534005
118	11.57971433
119	11.57233715
120	11.56847566
121	11.56494331
122	11.56487663
123	11.56110933
124	11.5542321
125	11.55222402
126	11.54956836
127	11.54790012
128	11.54749649
129	11.54236092
130	11.53723828
131	11.53414416
132	11.52850105
133	11.5224754
134	11.51671107
135	11.51082873
136	11.50885936
137	11.50515005
138	11.50473675
139	11.50174016
140	11.50009437
141	11.49907913
142	11.49306948
143	11.49123361
144	11.48962308
145	11.48693017
146	11.48595535
147	11.48041333
148	11.48034349
149	11.47825973
150	11.47454016
151	11.47271394
152	11.46895623
153	11.46406335
154	11.46392163
155	11.46045138
156	11.45433114
157	11.45251549
158	11.449162
159	11.44903685
160	11.44804304
161	11.44378987
162	11.43955867
163	11.43529499
164	11.43110726
165	11.42914929
166	11.42584899
167	11.42170582
168	11.41649651
169	11.41416066
170	11.41065232
171	11.40732867
172	11.40730441
173	11.40525463
174	11.40195656
175	11.39820447
176	11.39674487
177	11.39369154
178	11.39062827
179	11.38874228
180	11.38872083
181	11.38540295
182	11.38249731
183	11.37744122
184	11.37294344
185	11.37040383
186	11.3681583
187	11.36513127
188	11.36121409
189	11.3577562
190	11.35408759
191	11.35155997
192	11.35098093
193	11.34802007
194	11.34486859
195	11.3429729
196	11.337596
197	11.33614784
198	11.3322472
199	11.32838916
200	11.3253138
201	11.32217904
202	11.31982569
203	11.31683606
204	11.31411804
205	11.31074062
206	11.30797702
207	11.30558776
208	11.30344986
209	11.29905924
210	11.29606849
211	11.29467096
212	11.29223454
213	11.29022152
214	11.28697141
215	11.28499798
216	11.28221929
217	11.27926415
218	11.27782068
219	11.27588726
220	11.27317029
221	11.26885564
222	11.26682518
223	11.26409977
224	11.26184297
225	11.25930747
226	11.25676121
227	11.25431787
228	11.25295215
229	11.25038807
230	11.24834858
231	11.24704915
232	11.2450001
233	11.24260454
234	11.2408138
235	11.23879858
236	11.23715128
237	11.23520294
238	11.23293734
239	11.22914023
240	11.22734107
241	11.2250357
242	11.22156881
243	11.21987463
244	11.21809579
245	11.21468919
246	11.21155486
247	11.20861369
248	11.20633116
249	11.20536876
250	11.20348878
251	11.20044199
252	11.19944383
253	11.19699305
254	11.19404708
255	11.19247443
256	11.19020525
257	11.18790695
258	11.18642548
259	11.18430907
260	11.18311809
261	11.18049464
262	11.17869187
263	11.17772324
264	11.17589154
265	11.17453035
266	11.1725877
267	11.17176802
268	11.17023135
269	11.16879892
270	11.1668222
271	11.16583552
272	11.16328778
273	11.16179159
274	11.16068727
275	11.15942885
276	11.15703858
277	11.15464002
278	11.15384533
279	11.15266426
280	11.15170187
281	11.1507785
282	11.14894007
283	11.1469774
284	11.1460514
285	11.14461703
286	11.14394804
287	11.14209945
288	11.14102861
289	11.14000177
290	11.13911495
291	11.13817204
292	11.13622745
293	11.13497999
294	11.13274447
295	11.13061567
296	11.12854358
297	11.12642678
298	11.1247001
299	11.1233856
300	11.12090212
301	11.1199878
302	11.11836712
303	11.11758152
304	11.11701043
305	11.11514893
306	11.11381748
307	11.11276417
308	11.11130615
309	11.1102609
310	11.10867428
311	11.10796233
312	11.10696495
313	11.10599948
314	11.10493282
315	11.10394531
316	11.10328004
317	11.10178656
318	11.10078484
319	11.0999831
320	11.09902266
321	11.0968092
322	11.09612305
323	11.09537262
324	11.09452384
325	11.09383129
326	11.09322377
327	11.09193972
328	11.09022753
329	11.08884244
330	11.08727302
331	11.08642924
332	11.08498454
333	11.08320072
334	11.082156
335	11.08037081
336	11.07950386
337	11.07891165
338	11.07783192
339	11.0768952
340	11.07561984
341	11.07444072
342	11.07308371
343	11.07149883
344	11.07037024
345	11.06876664
346	11.06736491
347	11.06609906
348	11.06555631
349	11.06450962
350	11.06385419
351	11.06303549
352	11.06157489
353	11.06053449
354	11.05960168
355	11.05821514
356	11.05683149
357	11.05549868
358	11.05493776
359	11.05369751
360	11.05304392
361	11.05128045
362	11.05080398
363	11.04969213
364	11.04899063
365	11.04852312
366	11.04733124
367	11.04681592
368	11.04627792
369	11.04511204
370	11.04457259
371	11.0442102
372	11.04255245
373	11.04198309
374	11.04097307
375	11.04011279
376	11.03887862
377	11.03789239
378	11.03680949
379	11.03614505
380	11.03546334
381	11.03477026
382	11.03405309
383	11.03300351
384	11.03153121
385	11.03106624
386	11.0301054
387	11.02921153
388	11.02828423
389	11.02770065
390	11.02714375
391	11.02602966
392	11.02485261
393	11.02436017
394	11.02338892
395	11.02246512
396	11.02143703
397	11.02040368
398	11.01937134
